Species,WtSpMean,WtSpN,WtSpSE,WingSpMean,WingSpN,WingSpSE,ECulmSpMean,ECulmSpN,ECulmSpSE,TarSpMean,TarSpN,TarSpSE, HClawSpMean, HClawSpN,HClawSpSE
Abeillia_abeillei,0.993251773,1,0.068264421,3.873413988,2,0.042601038,2.330444337,2,0.058318452,1.568615918,1,0.062416183,0.614820276,2,0.027033611
Adelomyia_melanogenys,1.193021529,3,0.104040775,3.957369624,7,0.022816118,2.690253643,7,0.033767216,1.780841874,3,0.073367753,1.40051197,7,0.061148035
Aglaeactis_aliciae,1.887069649,1,0.068264421,4.242764567,1,0.031914097,2.803360381,1,0.03370817,2.197224577,1,0.062416183,1.648658626,1,0.070118761
Aglaeactis_castelnaudii,1.899315159,2,0.074765867,4.236991465,2,0.004335287,2.936481252,2,0.007957728,2.085498457,2,0.018635697,1.588401524,2,0.040839016
Aglaeactis_cupripennis,2.077128531,4,0.03913796,4.403726113,9,0.014381384,2.938503798,9,0.017633166,1.891863305,4,0.042891875,1.534654041,9,0.029341364
Aglaeactis_pamela,1.703258272,2,0.054599646,4.158453211,2,0.084311356,2.89111195,2,0.063798329,1.967869766,2,0.111571776,1.510212443,2,0.099225469
Aglaiocercus_coelestis,,,,4.168246727,7,0.042612476,2.773766598,7,0.014195271,1.85629799,1,0.062416183,1.283841154,7,0.041147999
Aglaiocercus_kingii,1.577217159,4,0.067643541,4.096498778,7,0.037879927,2.660329036,7,0.01759221,1.822118072,7,0.055438677,1.366583451,7,0.042337233
Amazilia_amabilis,1.158243999,2,0.202732554,3.983455705,5,0.059550736,2.878359749,5,0.045474869,1.423035749,2,0.012048776,0.991515752,5,0.068794901
Amazilia_amazilia,1.34798881,2,0.012987743,3.952693169,2,0.030719833,2.869574809,2,0.048195923,1.66485069,2,0.075615485,0.974381609,2,0.018870164
Amazilia_beryllina,1.568615918,2,0,4.014382433,2,0.019858206,2.919418853,2,0.045854213,1.629048269,2,0.019610357,0.993251773,2,0
Amazilia_candida,1.301344843,2,0.202732554,3.941327242,2,0.049506944,2.870731771,2,0.002832869,1.893003082,2,0.135145165,0.909038389,2,0.120581028
Amazilia_chionogaster,1.70277482,3,0.116778391,4.02680911,6,0.015816506,3.048522051,6,0.024867553,1.751323917,5,0.056528449,1.033433881,6,0.057011273
Amazilia_cyanocephala,1.740620045,2,0.131182132,4.092826016,5,0.016137827,2.986028333,5,0.036777359,1.629048269,2,0.019610357,1.009610877,5,0.05352801
Amazilia_cyanura,1.386294361,1,0.068264421,3.96081317,1,0.031914097,2.884800713,1,0.03370817,1.589235205,1,0.062416183,0.916290732,1,0.070118761
Amazilia_edward,1.481604541,1,0.068264421,3.897924081,1,0.031914097,2.912350665,1,0.03370817,1.504077397,1,0.062416183,1.029619417,1,0.070118761
Amazilia_fimbriata,1.601886349,3,0.029427174,3.976860885,6,0.011381699,2.96798117,6,0.036388569,1.611984894,4,0.071463422,1.060026989,6,0.043141189
Amazilia_franciae,1.588401524,2,0.040839016,3.971072324,5,0.013292479,3.104106166,5,0.015548301,1.618009282,4,0.065848723,1.045149335,5,0.11558283
Amazilia_lactea,1.632837072,3,0.05445063,3.982687447,3,0.010230853,2.945789014,3,0.020006429,1.722341156,3,0.020629523,1.03746786,3,0.063573729
Amazilia_rosenbergi,1.2382692,2,0.014493768,3.93025454,2,0.034360916,3.058607876,2,0.014085438,1.657093002,2,0.04765509,0.993251773,2,0
Amazilia_rutila,1.416606672,2,0.19283124,3.991033839,5,0.028604246,3.056582785,5,0.032592112,1.624354248,5,0.04897145,0.989098998,5,0.074849599
Amazilia_sapphirina,,,,3.887677821,2,0.01024626,2.936481252,2,0.007957728,1.648658626,1,0.062416183,0.990500734,2,0.074210003
Amazilia_saucerottei,1.503971081,6,0.039477339,3.96107843,9,0.019971176,2.85650222,9,0.021734046,1.616737748,8,0.038277705,0.842200817,9,0.072735822
Amazilia_tobaci,1.557645754,2,0.031589451,3.884532964,2,0.01541746,2.870057202,2,0.036843858,1.445185879,2,0.164252033,0.874599927,2,0.041690804
Amazilia_tzacatl,1.618122013,13,0.0246888,4.018339558,28,0.00745188,2.996822685,28,0.010882579,1.739129631,13,0.040462427,0.989416896,16,0.022844306
Amazilia_versicolor,1.568615918,1,0.068264421,3.910494943,3,0.013914428,2.784088415,3,0.030342044,1.657819747,2,0.028579207,0.991843189,3,0.037776228
Amazilia_violiceps,1.648658626,1,0.068264421,4.06731589,1,0.031914097,3.072693315,1,0.03370817,1.547562509,1,0.062416183,0.875468737,1,0.070118761
Amazilia_viridicauda,1.773657945,2,0.050891347,4.068010308,2,0.017966005,2.989189654,2,0.055332784,1.676003569,2,0.046763029,1.1150072,2,0.016394911
Amazilia_viridifrons,1.686227456,2,0.018520636,4.075264258,2,0.033968917,3.003275092,2,0.069418222,1.648658626,2,0,1.096385113,2,0.066765696
Amazilia_viridigaster,,,,3.900961547,2,0.001011123,2.921989553,2,0.048424913,1.791759469,1,0.062416183,0.943534825,2,0.155077464
Amazilia_yucatanensis,1.406205108,2,0.097872289,3.972175155,2,0.001883241,2.895774561,2,0.016576104,1.685712612,2,0.037053986,0.916290732,2,0
Androdon_aequatorialis,1.824549292,1,0.068264421,4.158984895,4,0.013903978,3.684090356,4,0.016409991,1.71064405,3,0.078041658,0.901570433,3,0.036149448
Anthracothorax_dominicus,,,,4.159742814,3,0.013438512,3.201030331,3,0.067221465,,,,1.06312154,3,0.039888483
Anthracothorax_mango,2.054123734,1,0.068264421,4.276288426,3,0.029136615,3.244524172,3,0.025760076,1.87168382,2,0.015385829,1.047165077,2,0.01754566
Anthracothorax_nigricollis,1.957608948,2,0.070539299,4.203346735,13,0.011336514,3.199561363,11,0.018517746,1.803740618,3,0.067027626,0.951145081,4,0.095833458
Anthracothorax_prevostii,1.931416381,2,0.014493768,4.169695503,2,0.040949514,3.242943181,2,0.056590547,1.676003569,2,0.046763029,0.926584049,2,0.138126688
Anthracothorax_viridigula,,,,4.22406347,4,0.011858299,3.283084979,4,0.032462159,,,,1.080510764,2,0.050891347
Aphantochroa_cirrochloris,,,,4.212073823,2,0.010370742,3.02764203,2,0.012107129,1.808288771,1,0.062416183,1.319528665,2,0.066765696
Archilochus_alexandri,1.280547894,2,0.027784926,3.776399147,7,0.014449144,2.936247696,7,0.026902823,1.656342787,4,0.035573552,0.803060271,5,0.041288175
